partido,zona,empresa,extracto,iframe
Puán,Zona 6,Lurovial S.R.L.,BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Ubicación desconocida,
Punta Indio,Zona 2 (sur),Olivo Zamboano S.A.,CONVENIOS Y EQUIPOS |   - 1 Retroexcavadora con brazo corto desde el 08 de octubre mediante Prestación de equipo: Limpieza y mejoramiento de cursos de agua y canales de desagüe en la Localidad de Verónica - Etapa VII,
Quilmes,Zona 2 (centro),Marcalba S.A.,HORAS MÁQUINAS |   - 435 horas ejecutadas entre el 05/08/25 y el 26/08/25 |   A cargo de la empresa Marcalba S.A.,
Ramallo,Zona 1,Olivo Zamboano S.A.,,
Rauch,Zona 5,Gerónimo Rizzo S.A.,,
Rivadavia,Zona 7,Marcalba S.A.,CAÑOS ENTREGADOS |   - 10 caños de chapa corrugada de ø1.000 mm. entregado el 17/02/25 | HORAS MÁQUINAS |   - 318 horas en ejecución desde 22/10/25 |   - 402 horas ejecutadas entre el 05/08/25 y el 05/09/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Corralon Municipal de America,
Rojas,Zona 1,Olivo Zamboano S.A.,HORAS MÁQUINAS |   - 630 horas en ejecución desde 24/10/25 |   A cargo de la empresa Olivo Zamboano S.A.,
Roque Pérez,Zona 4,Marcalba S.A.,CAÑOS ENTREGADOS |   - 12 caños de hormigón de ø1.000 mm. entregado el 23/10/25 |   - 5 caños de hormigón de ø800 mm. entregado el 23/10/25 | HORAS MÁQUINAS |   - 378 horas ejecutadas entre el 23/09/25 y el 11/11/25 |   A cargo de la empresa Marcalba S.A. | BOMBAS | 1 bombas marca EMA 3.200.000 LTS/HR ubicado en Municipalidad de Roque Perez | 3 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Corralon Municipal de Roque Perez,
Saavedra,Zona 6,Lurovial S.R.L.,HORAS MÁQUINAS |   - 325 horas en ejecución desde 24/10/25 |   A cargo de la empresa Lurovial S.R.L.,
Saladillo,Zona 4,Marcalba S.A.,HORAS MÁQUINAS |   - 240 horas ejecutadas entre el 23/09/25 y el 11/11/25 |   A cargo de la empresa Marcalba S.A.,
Salliqueló,Zona 7,Marcalba S.A.,,
Salto,Zona 1,Olivo Zamboano S.A.,CAÑOS ENTREGADOS |   - 6 caños de chapa corrugada de ø800 mm. entregado el 06/10/25 |   - 28 caños de hormigón de ø1.000 mm. entregado el 06/10/25 |   - 6 caños de hormigón de ø800 mm. entregado el 29/10/25 | CONVENIOS Y EQUIPOS |   - 1 equipo (Retropala) operativo sin afectación desde el 03 de noviembre | HORAS MÁQUINAS |   - 495 horas ejecutadas entre el 13/09/25 y el 07/10/25 |   A cargo de la empresa Olivo Zamboano S.A.,
San Andrés de Giles,Zona 1,Olivo Zamboano S.A.,HORAS MÁQUINAS |   - 346 horas ejecutadas entre el 31/07/25 y el 25/08/25 |   A cargo de la empresa Olivo Zamboano S.A.,
San Antonio de Areco,Zona 1,Olivo Zamboano S.A.,HORAS MÁQUINAS |   - 20 horas en ejecución desde 24/10/25 |   A cargo de la empresa Olivo Zamboano S.A.,
San Cayetano,Zona 5,Gerónimo Rizzo S.A.,,
San Fernando,Zona 2 (norte),Gerónimo Rizzo S.A.,,
San Isidro,Zona 2 (norte),Gerónimo Rizzo S.A.,,
San Miguel,Zona 2 (norte),Gerónimo Rizzo S.A.,,
San Miguel del Monte,Zona 4,Marcalba S.A.,,
San Nicolás,Zona 1,Olivo Zamboano S.A.,,
San Pedro,Zona 1,Olivo Zamboano S.A.,BOMBAS | 2 bombas marca PIVAS 1.500.000 LTS/HR ubicado en CORRALON MUNICIPAL DE SAN PEDRO,
San Vicente,Zona 2 (centro),Marcalba S.A.,CONVENIOS Y EQUIPOS |   - 1 Camión tatu desde el 08 de octubre mediante Prestación de equipo: Limpieza de Arroyos y Canales internos  Etapa XIII |   - 1 Retroexcavadora con brazo corto desde el 08 de octubre mediante Prestación de equipo: Limpieza de Arroyos y Canales internos  Etapa XIII,
Suipacha,Zona 2 (norte),Gerónimo Rizzo S.A.,CAÑOS ENTREGADOS |   - 23 caños de chapa corrugada de ø800 mm. entregado el 01/07/25 |   - 10 caños de hormigón de ø800 mm. entregado el 03/07/25 | HORAS MÁQUINAS |   - 683 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Tandil,Zona 5,Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 285 horas ejecutadas entre el 23/09/25 y el 31/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Tapalqué,Zona 4,Marcalba S.A.,HORAS MÁQUINAS |   - 560 horas ejecutadas entre el 31/07/25 y el 25/08/25 |   A cargo de la empresa Marcalba S.A.,
Tigre,Zona 2 (norte),Gerónimo Rizzo S.A.,HORAS MÁQUINAS |   - 400 horas en planificación con fecha estipulada de inicio el 30/12/99 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Tordillo,Zona 8,Gerónimo Rizzo S.A.,CAÑOS ENTREGADOS |   - 6 caños de chapa corrugada de ø800 mm. entregado el 28/10/25 | HORAS MÁQUINAS |   - 360 horas ejecutadas entre el 13/09/25 y el 16/10/25 |   A cargo de la empresa Gerónimo Rizzo S.A.,
Tornquist,Zona 6,Lurovial S.R.L.,,
Trenque Lauquen,Zona 7,Marcalba S.A.,,
Tres Arroyos,Zona 5,Gerónimo Rizzo S.A.,,
Tres de Febrero,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Tres Lomas,Zona 7,Marcalba S.A.,BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Ubicación desconocida,
Vicente López,Zona 2 (norte),Gerónimo Rizzo S.A.,,
Villarino,Zona 6,Lurovial S.R.L.,,
Zárate,Zona 1,Olivo Zamboano S.A.,,
Zona Insular del Delta Bonaerense,Zona 9,Sin asignar,,
Departamento de Logistica,--,--,CONVENIOS Y EQUIPOS |   - 1 equipo (Retroexcavadora con brazo corto) operativo sin afectación desde el 03 de octubre |   - 1 equipo (Retropala) operativo sin afectación desde el 04 de noviembre | BOMBAS | 1 bombas marca PIVAS 2.000.000 LTS/HR ubicado en Departamento de Logistica | 2 bombas marca PIVAS 3.000.000 LTS/HR ubicado en Departamento de Logistica | 10 bombas marca PIVAS 4.000.000 LTS/HR ubicado en Departamento de Logistica,
